"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"452","Andy Roddick",103,16,3,0.76,0.74,131
"453","Andy Roddick",19,8,1,0.76,0.68,104
"454","Andy Roddick",84,13,1,0.76,0.81,95
"455","Andy Roddick",81,13,0,0.76,0.68,113
"456","Andy Roddick",89,11,0,0.8,0.64,56
"457","Andy Roddick",49,18,3,0.8,0.59,100
"458","Andy Roddick",29,24,2,0.8,0.78,82
"459","Andy Roddick",75,9,2,0.64,0.72,143
"460","Andy Roddick",73,8,0,0.76,0.74,62
"461","Andy Roddick",92,11,0,0.76,0.69,103
"462","Andy Roddick",48,13,0,0.76,0.84,67
"463","Andy Roddick",13,8,1,0.76,0.73,122
"464","Andy Roddick",191,9,1,0.76,0.52,104
"465","Andy Roddick",195,19,2,0.76,0.69,160
"466","Andy Roddick",60,22,1,0.76,0.75,97
"467","Andy Roddick",22,13,2,0.76,0.63,106
"468","Andy Roddick",3,16,5,0.76,0.71,150
"469","Andy Roddick",305,11,1,0.64,0.77,94
"470","Andy Roddick",85,15,1,0.64,0.77,111
"471","Andy Roddick",46,7,0,0.64,0.68,104
"472","Andy Roddick",28,8,0,0.76,0.65,82
"473","Andy Roddick",11,12,0,0.76,0.68,157
"474","Andy Roddick",4,4,1,0.76,0.66,103
"475","Andy Roddick",368,7,2,0.76,0.63,63
"476","Andy Roddick",45,10,1,0.76,0.65,81
"477","Andy Roddick",65,8,1,0.76,0.62,98
"478","Andy Roddick",41,21,1,0.8,0.72,132
"479","Andy Roddick",39,18,5,0.8,0.7,127
"480","Andy Roddick",30,33,1,0.8,0.72,174
"481","Andy Roddick",20,24,0,0.8,0.7,109
"482","Andy Roddick",56,43,4,0.8,0.73,231
"483","Andy Roddick",3,21,1,0.8,0.74,187
"484","Andy Roddick",47,8,0,0.76,0.59,55
"485","Andy Roddick",26,3,6,0.76,0.66,95
"486","Andy Roddick",33,7,2,0.76,0.74,96
"487","Andy Roddick",80,9,1,0.76,0.69,151
"488","Andy Roddick",341,11,2,0.76,0.67,124
"489","Andy Roddick",16,14,0,0.76,0.73,121
"490","Andy Roddick",93,13,2,0.8,0.73,83
"491","Andy Roddick",37,25,1,0.8,0.72,143
"492","Andy Roddick",35,28,0,0.8,0.71,176
"493","Andy Roddick",78,8,2,0.76,0.67,102
"494","Andy Roddick",149,15,2,0.76,0.71,116
"495","Andy Roddick",57,17,2,0.76,0.66,130
"496","Andy Roddick",32,5,0,0.76,0.77,52
"497","Andy Roddick",80,8,1,0.76,0.62,124
"498","Andy Roddick",35,11,0,0.76,0.78,132
"499","Andy Roddick",46,29,3,0.76,0.74,212
"500","Andy Roddick",11,33,0,0.76,0.68,205
"501","Andy Roddick",39,9,0,0.76,0.63,62
"502","Andy Roddick",26,12,0,0.76,0.79,93
"503","Andy Roddick",46,10,1,0.76,0.63,135
"504","Andy Roddick",50,8,2,0.76,0.62,104
"505","Andy Roddick",5,26,4,0.76,0.6,164
"506","Andy Roddick",3,8,4,0.76,0.57,83
"507","Andy Roddick",226,11,1,0.76,0.75,67
"508","Andy Roddick",76,7,0,0.76,0.74,74
"509","Andy Roddick",23,16,2,0.76,0.73,103
"510","Andy Roddick",31,21,1,0.76,0.73,120
